Station,SampleDate,SampleTime,SampleType,SampleDepth,Taxa,Division,Tally,Density,Biovolume,Notes,CurrentDivision
GTB-WQ1,6/24/2015,9:30,water,0-8.0,Rhoicosphenia abbreviata,Bacillariophyta,1,6.67E+01,2.38E+04,Low detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,Sellaphora cf. pupula,Bacillariophyta,1,2.46E+03,5.90E+05,Low detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,Staurosirella pinnata,Bacillariophyta,7,4.67E+02,5.13E+04,Low detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,cf. Chlamydomonas sp.,Chlorophyta,15,3.69E+04,3.71E+06,Low detritus. Organisms appear degraded.,Chlorophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,cf. Chlorella spp.,Chlorophyta,257,6.32E+05,2.12E+07,Low detritus. Organisms appear degraded.,Chlorophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,cf. Elakatothrix acuta,Chlorophyta,6,4.00E+02,5.47E+04,Low detritus. Organisms appear degraded.,Chlorophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,Monoraphidium minutum,Chlorophyta,1,2.46E+03,4.12E+04,Low detritus. Organisms appear degraded.,Chlorophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,Monoraphidium tortile,Chlorophyta,1,2.46E+03,9.78E+04,Low detritus. Organisms appear degraded.,Chlorophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,cf. Mougeotia sp.,Chlorophyta,3,3.63E+03,2.50E+06,Low detritus. Organisms appear degraded.,Chlorophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,cf. Oocystis sp.,Chlorophyta,1,6.67E+01,2.90E+04,Low detritus. Organisms appear degraded.,Chlorophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,cf. Scenedesmus sp.,Chlorophyta,10,2.46E+04,2.57E+05,Low detritus. Organisms appear degraded.,Chlorophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,Scenedesmus sp.,Chlorophyta,20,1.33E+03,1.68E+04,Low detritus. Organisms appear degraded.,Chlorophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,cf. Chrysococcus sp.,Chrysophyta,2,4.92E+03,3.22E+05,Low detritus. Organisms appear degraded.,Chrysophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,Kephyrion spp.,Chrysophyta,31,7.62E+04,3.83E+06,Low detritus. Organisms appear degraded.,Ochrophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,Cryptomonas ovata,Cryptophyta,10,6.67E+02,1.01E+06,Low detritus. Organisms appear degraded.,Cryptophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,cf. Plagioselmis nannoplanctica,Cryptophyta,52,1.28E+05,2.36E+07,Low detritus. Organisms appear degraded.,Cryptophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,cf. Aphanizomenon sp.,Cyanobacteria,45,5.45E+04,1.93E+06,Low detritus. Organisms appear degraded.,Cyanobacteria
GTB-WQ1,6/24/2015,9:30,water,0-8.0,Chroococcus minimus,Cyanobacteria,12,8.00E+02,3.35E+03,Low detritus. Organisms appear degraded.,Cyanobacteria
GTB-WQ1,6/24/2015,9:30,water,0-8.0,cf. Pseudanabaena sp.,Cyanobacteria,9,2.21E+04,2.09E+05,Low detritus. Organisms appear degraded.,Cyanobacteria
GTB-WQ1,6/24/2015,9:30,water,0-8.0,Ceratium hirundinella,Pyrrophyta,1,6.67E+01,1.09E+07,Low detritus. Organisms appear degraded.,Miozoa
GTB-WQ1,6/24/2015,9:30,water,0-8.0,cf. Glenodinium sp.,Pyrrophyta,5,3.33E+02,4.24E+05,Low detritus. Organisms appear degraded.,Pyrrophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,cf. Gymnodinium sp.,Pyrrophyta,1,2.46E+03,6.80E+05,Low detritus. Organisms appear degraded.,Miozoa
GTB-WQ1,6/24/2015,9:30,water,0-8.0,Peridinium sp.,Pyrrophyta,1,1.21E+03,5.27E+06,Low detritus. Organisms appear degraded.,Miozoa
GTB-WQ1,7/8/2015,12:15,water,0-8.0,Achnanthidium minutissimum,Bacillariophyta,1,1.33E+02,6.91E+03,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/8/2015,12:15,water,0-8.0,Achnanthidium sp.,Bacillariophyta,11,1.05E+05,6.41E+06,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/8/2015,12:15,water,0-8.0,Amphora sp.,Bacillariophyta,2,2.67E+02,3.87E+04,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/8/2015,12:15,water,0-8.0,Cyclotella spp.,Bacillariophyta,135,1.28E+06,1.09E+08,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/8/2015,12:15,water,0-8.0,Diatoma tenuis,Bacillariophyta,1,9.51E+03,7.26E+06,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/8/2015,12:15,water,0-8.0,Encyonema sp.,Bacillariophyta,1,1.33E+02,1.04E+04,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/8/2015,12:15,water,0-8.0,Eucocconeis flexella,Bacillariophyta,1,1.33E+02,2.56E+05,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/8/2015,12:15,water,0-8.0,cf. Fragilaria crotonensis,Bacillariophyta,7,6.65E+04,5.21E+07,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/8/2015,12:15,water,0-8.0,cf. Navicula spp.,Bacillariophyta,3,2.85E+04,4.30E+06,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/8/2015,12:15,water,0-8.0,Planothidium sp.,Bacillariophyta,1,2.42E+03,3.77E+05,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/8/2015,12:15,water,0-8.0,cf. Staurosirella pinnata,Bacillariophyta,1,9.51E+03,2.69E+05,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/8/2015,12:15,water,0-8.0,cf. Chlorella spp.,Chlorophyta,193,1.83E+06,2.59E+07,Organisms appear degraded.,Chlorophyta
GTB-WQ1,7/8/2015,12:15,water,0-8.0,Chrysococcus sp.,Chrysophyta,1,9.51E+03,6.22E+05,Organisms appear degraded.,Chrysophyta
GTB-WQ1,7/8/2015,12:15,water,0-8.0,Kephyrion spp.,Chrysophyta,5,4.75E+04,3.73E+06,Organisms appear degraded.,Ochrophyta
GTB-WQ1,7/8/2015,12:15,water,0-8.0,Cryptomonas sp.,Cryptophyta,1,9.51E+03,5.10E+06,Organisms appear degraded.,Cryptophyta
GTB-WQ1,7/8/2015,12:15,water,0-8.0,cf. Rhodomonas sp.,Cryptophyta,13,1.24E+05,1.05E+07,Organisms appear degraded.,Cryptophyta
GTB-WQ1,7/8/2015,12:15,water,0-8.0,cf. Chroococcus microscopicus,Cyanobacteria,34,3.23E+05,8.66E+04,Organisms appear degraded.,Cyanobacteria
GTB-WQ1,7/8/2015,12:15,water,0-8.0,cf. Pseudanabaena sp.,Cyanobacteria,47,4.47E+05,1.58E+07,Organisms appear degraded.,Cyanobacteria
GTB-WQ1,7/8/2015,12:15,water,0-8.0,Ceratium furcoides,Pyrrophyta,1,1.33E+02,2.65E+06,Organisms appear degraded.,Miozoa
GTB-WQ1,7/8/2015,12:15,water,0-8.0,Peridinium sp.,Pyrrophyta,1,9.51E+03,8.29E+06,Organisms appear degraded.,Miozoa
GTB-WQ1,7/21/2015,11:35,water,0-8.0,Achnanthidium sp.,Bacillariophyta,1,4.00E+01,1.38E+03,Low sediment and detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,Amphora pediculus,Bacillariophyta,2,1.45E+03,4.79E+04,Low sediment and detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,cf. Cocconeis sp.,Bacillariophyta,2,8.00E+01,5.39E+04,Low sediment and detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,Cyclotella sp.,Bacillariophyta,3,6.75E+03,3.18E+06,Low sediment and detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,Cymbella cf. cistula,Bacillariophyta,2,4.50E+03,5.85E+06,Low sediment and detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,Cymbella cf. proxima,Bacillariophyta,1,7.26E+02,4.41E+06,Low sediment and detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,Encyonopsis sp.,Bacillariophyta,1,7.26E+02,7.99E+04,Low sediment and detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,cf. Fragilaria sp.,Bacillariophyta,1,2.25E+03,3.45E+05,Low sediment and detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,Navicula sp.,Bacillariophyta,1,7.26E+02,2.92E+06,Low sediment and detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,cf. Psammothidium sp.,Bacillariophyta,1,2.25E+03,2.65E+05,Low sediment and detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,Rhoicosphenia abbreviata,Bacillariophyta,1,4.00E+01,1.83E+04,Low sediment and detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,cf. Staurosira sp.,Bacillariophyta,1,2.25E+03,9.55E+04,Low sediment and detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,Stephanodiscus sp.,Bacillariophyta,2,1.45E+03,6.57E+06,Low sediment and detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,Chlamydomonas sp.,Chlorophyta,2,4.50E+03,4.24E+05,Low sediment and detritus. Organisms appear degraded.,Chlorophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,cf. Chlorella spp.,Chlorophyta,324,7.29E+05,1.03E+07,Low sediment and detritus. Organisms appear degraded.,Chlorophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,Drepanochloris nannoselene,Chlorophyta,1,2.25E+03,1.39E+04,Low sediment and detritus. Organisms appear degraded.,Chlorophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,cf. Monoraphidium sp.,Chlorophyta,13,2.93E+04,1.47E+06,Low sediment and detritus. Organisms appear degraded.,Chlorophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,Scenedesmus sp.,Chlorophyta,4,2.91E+03,5.70E+04,Low sediment and detritus. Organisms appear degraded.,Chlorophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,cf. Dinobryon sp.,Chrysophyta,3,6.75E+03,2.67E+06,Low sediment and detritus. Organisms appear degraded.,Ochrophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,Kephyrion sp.,Chrysophyta,4,2.91E+03,2.28E+05,Low sediment and detritus. Organisms appear degraded.,Ochrophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,Pseudokephyrion pseudospirale,Chrysophyta,1,7.26E+02,3.80E+04,Low sediment and detritus. Organisms appear degraded.,Chrysophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,Cryptomonas sp.,Cryptophyta,1,7.26E+02,3.89E+05,Low sediment and detritus. Organisms appear degraded.,Cryptophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,cf. Rhodomonas sp.,Cryptophyta,39,8.78E+04,7.45E+06,Low sediment and detritus. Organisms appear degraded.,Cryptophyta
GTB-WQ1,7/21/2015,11:35,water,0-8.0,cf. Chroococcus microscopicus,Cyanobacteria,38,8.56E+04,2.29E+04,Low sediment and detritus. Organisms appear degraded.,Cyanobacteria
GTB-WQ1,7/21/2015,11:35,water,0-8.0,cf. Gymnodinium sp.,Pyrrophyta,1,2.25E+03,1.14E+06,Low sediment and detritus. Organisms appear degraded.,Miozoa
GTB-WQ1,8/5/2015,12:10,water,0-8.0,Achnanthidium sp.,Bacillariophyta,10,5.70E+04,3.49E+06,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,8/5/2015,12:10,water,0-8.0,Amphora sp.,Bacillariophyta,3,1.71E+04,1.80E+06,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,8/5/2015,12:10,water,0-8.0,Cocconeis placentula,Bacillariophyta,1,5.70E+03,4.26E+06,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,8/5/2015,12:10,water,0-8.0,cf. Cyclotella sp.,Bacillariophyta,169,9.64E+05,5.68E+07,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,8/5/2015,12:10,water,0-8.0,Cymbella sp.,Bacillariophyta,1,1.45E+03,1.89E+06,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,8/5/2015,12:10,water,0-8.0,Diatoma tenuis,Bacillariophyta,2,2.91E+03,8.49E+05,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,8/5/2015,12:10,water,0-8.0,Eucocconeis flexella,Bacillariophyta,1,5.70E+03,7.98E+06,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,8/5/2015,12:10,water,0-8.0,cf. Fragilaria crotonensis,Bacillariophyta,43,2.45E+05,1.92E+08,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,8/5/2015,12:10,water,0-8.0,Navicula sp.,Bacillariophyta,1,5.70E+03,3.06E+06,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,8/5/2015,12:10,water,0-8.0,cf. Nitzschia sp.,Bacillariophyta,2,1.14E+04,1.96E+06,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,8/5/2015,12:10,water,0-8.0,Chlamydomonas sp.,Chlorophyta,8,4.56E+04,4.30E+06,Organisms appear degraded.,Chlorophyta
GTB-WQ1,8/5/2015,12:10,water,0-8.0,cf. Chlorella spp.,Chlorophyta,88,5.02E+05,7.10E+06,Organisms appear degraded.,Chlorophyta
GTB-WQ1,8/5/2015,12:10,water,0-8.0,Monoraphidium sp.,Chlorophyta,1,8.00E+01,3.52E+03,Organisms appear degraded.,Chlorophyta
GTB-WQ1,8/5/2015,12:10,water,0-8.0,Pediastrum duplex,Chlorophyta,25,1.43E+05,3.83E+07,Organisms appear degraded.,Chlorophyta
GTB-WQ1,8/5/2015,12:10,water,0-8.0,Scenedesmus sp.,Chlorophyta,20,1.14E+05,3.23E+06,Organisms appear degraded.,Chlorophyta
GTB-WQ1,8/5/2015,12:10,water,0-8.0,cf. Sphaerocystis sp.,Chlorophyta,8,1.16E+04,1.31E+06,Organisms appear degraded.,Chlorophyta
GTB-WQ1,8/5/2015,12:10,water,0-8.0,Tetraedron minimum,Chlorophyta,1,5.70E+03,4.28E+05,Organisms appear degraded.,Chlorophyta
GTB-WQ1,8/5/2015,12:10,water,0-8.0,Kephyrion sp.,Chrysophyta,4,2.28E+04,1.79E+06,Organisms appear degraded.,Ochrophyta
GTB-WQ1,8/5/2015,12:10,water,0-8.0,Cryptomonas sp.,Cryptophyta,2,1.14E+04,6.12E+06,Organisms appear degraded.,Cryptophyta
GTB-WQ1,8/5/2015,12:10,water,0-8.0,cf. Rhodomonas sp.,Cryptophyta,36,2.05E+05,1.74E+07,Organisms appear degraded.,Cryptophyta
GTB-WQ1,8/5/2015,12:10,water,0-8.0,cf. Chroococcus microscopicus,Cyanobacteria,70,3.99E+05,1.07E+05,Organisms appear degraded.,Cyanobacteria
GTB-WQ1,8/5/2015,12:10,water,0-8.0,Ceratium furcoides,Pyrrophyta,1,8.00E+01,2.62E+06,Organisms appear degraded.,Miozoa
GTB-WQ1,8/5/2015,12:10,water,0-8.0,Peridinium sp.,Pyrrophyta,1,1.45E+03,1.72E+06,Organisms appear degraded.,Miozoa
GTB-WQ1,8/21/2015,9:30,water,0-8.0,Amphora sp.,Bacillariophyta,5,2.79E+03,1.66E+05,Low sediment and detritus. Organisms appear faint and degraded.,Bacillariophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,Cocconeis placentula,Bacillariophyta,1,3.66E+03,2.69E+06,Low sediment and detritus. Organisms appear faint and degraded.,Bacillariophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,Cocconeis sp.,Bacillariophyta,1,3.66E+03,4.75E+06,Low sediment and detritus. Organisms appear faint and degraded.,Bacillariophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,Cyclotella sp.,Bacillariophyta,2,7.31E+03,1.03E+07,Low sediment and detritus. Organisms appear faint and degraded.,Bacillariophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,Denticula sp.,Bacillariophyta,1,3.66E+03,7.32E+05,Low sediment and detritus. Organisms appear faint and degraded.,Bacillariophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,Diploneis sp.,Bacillariophyta,1,3.08E+01,5.89E+04,Low sediment and detritus. Organisms appear faint and degraded.,Bacillariophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,cf. Encyonopsis sp.,Bacillariophyta,3,9.23E+01,1.48E+04,Low sediment and detritus. Organisms appear faint and degraded.,Bacillariophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,Fragilaria crotonensis,Bacillariophyta,2,1.12E+03,1.11E+06,Low sediment and detritus. Organisms appear faint and degraded.,Bacillariophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,Fragilaria tenera,Bacillariophyta,2,6.15E+01,1.22E+04,Low sediment and detritus. Organisms appear faint and degraded.,Bacillariophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,Gomphonema sp.,Bacillariophyta,1,5.59E+02,1.39E+05,Low sediment and detritus. Organisms appear faint and degraded.,Bacillariophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,cf. Gyrosigma sp.,Bacillariophyta,1,3.08E+01,8.31E+04,Fragment. Low sediment and detritus. Organisms appear faint and degraded.,Bacillariophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,cf. Lindavia ocellata,Bacillariophyta,3,1.68E+03,6.58E+05,Low sediment and detritus. Organisms appear faint and degraded.,Bacillariophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,cf. Navicula sp.,Bacillariophyta,1,3.08E+01,1.45E+04,Low sediment and detritus. Organisms appear faint and degraded.,Bacillariophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,Planothidium sp.,Bacillariophyta,2,1.12E+03,2.95E+05,Low sediment and detritus. Organisms appear faint and degraded.,Bacillariophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,cf. Psammothidium sp.,Bacillariophyta,1,3.66E+03,4.31E+05,Low sediment and detritus. Organisms appear faint and degraded.,Bacillariophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,Stephanodiscus sp.,Bacillariophyta,5,1.54E+02,4.36E+05,Low sediment and detritus. Organisms appear faint and degraded.,Bacillariophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,Chlamydomonas sp.,Chlorophyta,2,7.31E+03,1.47E+06,Low sediment and detritus. Organisms appear faint and degraded.,Chlorophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,cf. Chlorella spp.,Chlorophyta,241,8.81E+05,1.25E+07,Low sediment and detritus. Organisms appear faint and degraded.,Chlorophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,Drepanochloris nannoselene,Chlorophyta,20,7.31E+04,2.07E+05,Low sediment and detritus. Organisms appear faint and degraded.,Chlorophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,cf. Elakatothrix sp.,Chlorophyta,5,1.83E+04,1.15E+06,Low sediment and detritus. Organisms appear faint and degraded.,Chlorophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,cf. Monoraphidium sp.,Chlorophyta,18,6.58E+04,2.62E+06,Low sediment and detritus. Organisms appear faint and degraded.,Chlorophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,Scenedesmus spp.,Chlorophyta,24,8.78E+04,9.19E+05,Low sediment and detritus. Organisms appear faint and degraded.,Chlorophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,Tetraedron minimum,Chlorophyta,22,8.04E+04,1.45E+06,Low sediment and detritus. Organisms appear faint and degraded.,Chlorophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,Tetraspora sp.,Chlorophyta,12,6.71E+03,2.25E+05,Low sediment and detritus. Organisms appear faint and degraded.,Chlorophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,Dinobryon sp.,Chrysophyta,3,1.68E+03,1.52E+06,Low sediment and detritus. Organisms appear faint and degraded.,Ochrophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,Cryptomonas sp.,Cryptophyta,7,3.91E+03,3.28E+06,Low sediment and detritus. Organisms appear faint and degraded.,Cryptophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,Plagioselmis nannoplanctica,Cryptophyta,59,2.16E+05,3.98E+07,Low sediment and detritus. Organisms appear faint and degraded.,Cryptophyta
GTB-WQ1,8/21/2015,9:30,water,0-8.0,Chroococcus microscopicus,Cyanobacteria,70,2.56E+05,6.86E+04,Low sediment and detritus. Organisms appear faint and degraded.,Cyanobacteria
GTB-WQ1,8/21/2015,9:30,water,0-8.0,Chroococcus sp.,Cyanobacteria,6,2.19E+04,1.44E+06,Low sediment and detritus. Organisms appear faint and degraded.,Cyanobacteria
GTB-WQ1,8/21/2015,9:30,water,0-8.0,cf. Dolichospermum sp.,Cyanobacteria,17,6.22E+04,4.88E+06,Low sediment and detritus. Organisms appear faint and degraded.,Cyanobacteria
GTB-WQ1,8/21/2015,9:30,water,0-8.0,cf. Gymnodinium sp.,Pyrrophyta,5,2.79E+03,1.42E+06,Low sediment and detritus. Organisms appear faint and degraded.,Miozoa
GTB-WQ1,9/2/2015,9:00,water,0-8.0,Amphora sp.,Bacillariophyta,2,9.51E+03,1.90E+05,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,9/2/2015,9:00,water,0-8.0,Cocconeis placentula,Bacillariophyta,1,2.67E+01,1.78E+04,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,9/2/2015,9:00,water,0-8.0,cf. Cyclotella spp.,Bacillariophyta,13,6.18E+04,2.43E+07,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,9/2/2015,9:00,water,0-8.0,Fragilaria crotonensis,Bacillariophyta,3,8.00E+01,5.81E+04,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,9/2/2015,9:00,water,0-8.0,Navicula sp.,Bacillariophyta,1,4.84E+02,1.20E+05,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,9/2/2015,9:00,water,0-8.0,Planothidium sp.,Bacillariophyta,1,4.84E+02,3.04E+05,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,9/2/2015,9:00,water,0-8.0,Staurosira sp.,Bacillariophyta,2,9.51E+03,9.86E+05,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,9/2/2015,9:00,water,0-8.0,Stephanodiscus sp.,Bacillariophyta,1,2.67E+01,5.45E+04,Organisms appear degraded.,Bacillariophyta
GTB-WQ1,9/2/2015,9:00,water,0-8.0,cf. Chlamydomonas sp.,Chlorophyta,6,2.85E+04,2.69E+06,Organisms appear degraded.,Chlorophyta
GTB-WQ1,9/2/2015,9:00,water,0-8.0,cf. Chlorella spp.,Chlorophyta,184,8.75E+05,1.24E+07,Organisms appear degraded.,Chlorophyta
GTB-WQ1,9/2/2015,9:00,water,0-8.0,Drepanochloris nannoselene,Chlorophyta,9,4.28E+04,1.18E+05,Organisms appear degraded.,Chlorophyta
GTB-WQ1,9/2/2015,9:00,water,0-8.0,Pediastrum duplex,Chlorophyta,32,1.52E+05,3.21E+07,Organisms appear degraded.,Chlorophyta
GTB-WQ1,9/2/2015,9:00,water,0-8.0,Scenedesmus sp.,Chlorophyta,56,2.66E+05,7.53E+06,Organisms appear degraded.,Chlorophyta
GTB-WQ1,9/2/2015,9:00,water,0-8.0,cf. Sphaerocystis sp.,Chlorophyta,8,3.80E+04,2.49E+06,Organisms appear degraded.,Chlorophyta
GTB-WQ1,9/2/2015,9:00,water,0-8.0,Tetraedron minimum,Chlorophyta,4,1.90E+04,1.43E+06,Organisms appear degraded.,Chlorophyta
GTB-WQ1,9/2/2015,9:00,water,0-8.0,Cryptomonas sp.,Cryptophyta,2,9.51E+03,8.46E+06,Organisms appear degraded.,Cryptophyta
